name,description,image_url,price,category,prep_time_min
Sliced Fish Soup (Clear),Fresh sliced batang fish in a clear, savory broth with chye sim and tofu.,https://placehold.co/600x400/png?text=Fish+Soup,6.50,Fish Soup,7
Fried Fish Soup (Milky),Deep-fried fish chunks in a rich, milky broth with evaporated milk.,https://placehold.co/600x400/png?text=Fried+Fish,7.00,Fish Soup,8
Tom Yum Seafood Soup,Spicy and sour Thai-style soup with prawns, fish slices, and squid.,https://placehold.co/600x400/png?text=Tom+Yum,7.50,Fish Soup,10
Double Fish Soup,Combination of sliced and fried fish in your choice of broth.,https://placehold.co/600x400/png?text=Double+Fish,8.00,Fish Soup,9
Century Egg Pork Porridge,Smooth Cantonese-style congee topped with lean pork and century egg chunks.,https://placehold.co/600x400/png?text=Pork+Porridge,4.80,Porridge,5
Shredded Chicken Porridge,Classic comfort porridge served with shredded chicken breast and sesame oil.,https://placehold.co/600x400/png?text=Chicken+Porridge,4.50,Porridge,5
Seafood Porridge,Premium porridge with prawns, fish slices, and scallops.,https://placehold.co/600x400/png?text=Seafood+Porridge,6.00,Porridge,7
Meatball Porridge,Hearty porridge served with handmade pork meatballs.,https://placehold.co/600x400/png?text=Meatball+Porridge,5.00,Porridge,6
Kopi O,Traditional black coffee with sugar.,https://placehold.co/600x400/png?text=Kopi+O,1.20,Drinks,2
Teh C,Hot tea with evaporated milk and sugar.,https://placehold.co/600x400/png?text=Teh+C,1.40,Drinks,2
Iced Lemon Tea,Refreshing homemade brewed tea with fresh lemon slices.,https://placehold.co/600x400/png?text=Ice+Lemon+Tea,1.80,Drinks,1
Homemade Barley,Boiled barley drink, served warm or cold.,https://placehold.co/600x400/png?text=Barley,1.50,Drinks,1
